"","Species","Group","first_year","last_year","lat_range","Latitude","Longitude","lat_abs","dist_trailing","dist_leading","reldist_leading","reldist_trailing","cross_equator","status"
"15234","Lagopus lagopus","Birds",1963,1975,33.151794434,64.5,19,64.5,19.9194946289999,13.2322998050001,60.085720755347,39.914279244653,0,"decreasing"
"15235","Lagopus lagopus","Birds",1970,1996,33.151794434,64,26,64,19.4194946289999,13.7322998050001,58.577506770142,41.422493229858,0,"increasing"
"15236","Lagopus lagopus","Birds",1980,1992,33.151794434,59.6825,-136.553611,59.6825,15.1019946289999,18.0497998050001,45.5540790078968,54.4459209921032,0,"decreasing"
"15237","Lagopus lagopus","Birds",1984,2000,33.151794434,58.725983,-93.188913,58.725983,14.1454776289999,19.0063168050001,42.6688143749242,57.3311856250758,0,"decreasing"
"15238","Lagopus lagopus","Birds",1990,2003,33.151794434,65.11667,13.75,65.11667,20.5361646289999,12.6156298050001,61.9458613918597,38.0541386081403,0,"increasing"
"15239","Lagopus lagopus","Birds",1991,2003,33.151794434,68.83333,19.55,68.83333,24.2528246289999,8.89896980500009,73.1568985723637,26.8431014276363,0,"increasing"
"15240","Lagopus lagopus","Birds",1991,2003,33.151794434,63.16778,10.1225,63.16778,18.5872746289999,14.5645198050001,56.0671750846074,43.9328249153926,0,"increasing"
"15241","Lagopus lagopus","Birds",1992,2003,33.151794434,59.95788,8.18828,59.95788,15.3773746289999,17.7744198050001,46.3847429423883,53.6152570576117,0,"decreasing"
"15242","Lagopus lagopus","Birds",1993,2003,33.151794434,61.5,11.75,61.5,16.9194946289999,16.2322998050001,51.036436844117,48.963563155883,0,"increasing"
"15243","Lagopus leucura","Birds",1987,1996,32.655212403,39.6,-105.61667,39.6,4.534692383,28.12052002,13.8865805772049,86.1134194227951,0,"decreasing"
"15244","Lagopus leucura","Birds",1990,1996,32.655212403,39.56667,-104.7,39.56667,4.501362383,28.15385002,13.7845141763232,86.2154858236768,0,"decreasing"
"15245","Lagopus leucura","Birds",1990,1992,32.655212403,39.65,-105.88333,39.65,4.584692383,28.07052002,14.0396954900186,85.9603045099814,0,"decreasing"
"15246","Lagopus leucura","Birds",1993,1996,32.655212403,39.58333,-105.75,39.58333,4.51802238299999,28.13719002,13.8355320652728,86.1644679347272,0,"increasing"
"15247","Lagopus muta","Birds",1996,2012,48.5330200210001,46.316667,8.233333,46.316667,11.738969246,36.7940507750001,24.1875927789381,75.8124072210619,0,"decreasing"
"15248","Lalage leucomela","Birds",2005,2006,30.427307129,-17.25917,145.54722,17.25917,14.915786211,15.511520918,49.0210525294363,50.9789474705637,0,"decreasing"
"15249","Lama guanicoe","Mammals",1981,2005,45.7394332,-31.11667,-67.78333,31.11667,21.7947896,23.9446436,47.6498899859564,52.3501100140436,0,"decreasing"
"15250","Lama guanicoe","Mammals",1987,1996,45.7394332,-51.05,-72.91667,51.05,41.7281196,4.0113136,91.2300758462394,8.76992415376061,0,"increasing"
"15251","Lampropeltis getula","Reptiles",1975,2005,15.3577588396987,33.23333,-81.66667,33.23333,8.2861158733693,7.0716429663294,53.9539392424257,46.0460607575743,0,"decreasing"
"15252","Lanius collurio","Birds",1980,2020,34.1458129879999,50.52528,7.59722,50.52528,18.2757682809999,15.870044707,53.5227211823092,46.4772788176908,0,"increasing"
"15253","Lanius collurio","Birds",2002,2018,34.1458129879999,41.82046,1.86768,41.82046,9.5709482809999,24.574864707,28.0296394886351,71.9703605113649,0,"decreasing"
"15254","Lanius ludovicianus","Birds",1967,1993,39.41040039,47.42611,-100.52861,47.42611,31.3211905659999,8.0892098240001,79.4744287194487,20.5255712805513,0,"increasing"
"15255","Lanius ludovicianus","Birds",1970,2012,39.41040039,55,-115,55,38.8950805659999,0.515319824000102,98.6924268241364,1.30757317586364,0,"increasing"
"15256","Lanius minor","Birds",1989,2004,25.7991943350001,42.27833,3.1225,42.27833,10.739450605,15.0597437300001,41.6270774410598,58.3729225589402,0,"decreasing"
"15257","Lanius minor","Birds",1992,2004,25.7991943350001,43.26472,3.1475,43.26472,11.725840605,14.0733537300001,45.4504138878954,54.5495861121046,0,"decreasing"
"15258","Lanius minor","Birds",1995,2004,25.7991943350001,43.51222,3.65417,43.51222,11.973340605,13.8258537300001,46.4097461708583,53.5902538291417,0,"decreasing"
"15259","Larus argentatus","Birds",1970,1991,27.023006313,59.13333,10.21667,59.13333,14.968229903,12.05477641,55.3906909158335,44.6093090841665,0,"decreasing"
"15260","Larus argentatus","Birds",1987,1999,27.023006313,63.45,10.95,63.45,19.284899903,7.73810641,71.3647463188527,28.6352536811473,0,"increasing"
"15261","Larus argentatus","Birds",1988,2004,27.023006313,58.03278,7.44472,58.03278,13.867679903,13.15532641,51.3180500436351,48.6819499563649,0,"increasing"
"15262","Larus argentatus","Birds",1994,2004,27.023006313,58.46806,8.76917,58.46806,14.302959903,12.72004641,52.9288256729572,47.0711743270428,0,"increasing"
"15263","Larus audouinii","Birds",1979,1997,8.237976075,40.58611,0.7025,40.58611,5.5909928129999,2.6469832620001,67.868524527123,32.131475472877,0,"increasing"
"15264","Larus audouinii","Birds",1981,2006,8.237976075,40.71028,0.84417,40.71028,5.7151628129999,2.5228132620001,69.3758122258191,30.6241877741809,0,"increasing"
"15265","Larus cachinnans","Birds",1990,1992,12.3155851379999,46.66667,30.7,46.66667,7.0495614509999,5.26602368699999,57.2409785812644,42.7590214187356,0,"decreasing"
"15266","Larus californicus","Birds",1970,2012,26.088562012,55.142948,-114.807219,55.142948,17.220218508,8.868343504,66.0067753066619,33.9932246933381,0,"increasing"
"15267","Larus californicus","Birds",1970,2014,26.088562012,55.410147,-105.758445,55.410147,17.487417508,8.601144504,67.0309751068544,32.9690248931456,0,"decreasing"
"15268","Larus canus","Birds",1970,1975,41.707580566,59.08278,9.78,59.08278,29.602250215,12.105330351,70.9757070855645,29.0242929144355,0,"decreasing"
"15269","Larus canus","Birds",1970,1999,41.707580566,59.08278,9.78306,59.08278,29.602250215,12.105330351,70.9757070855645,29.0242929144355,0,"decreasing"
"15270","Larus canus","Birds",1970,1991,41.707580566,59.13333,10.21667,59.13333,29.652800215,12.054780351,71.0969080742433,28.9030919257567,0,"decreasing"
"15271","Larus canus","Birds",1973,2014,41.707580566,63.748366,-136.036766,63.748366,34.267836215,7.43974435100001,82.1621291620428,17.8378708379572,0,"decreasing"
"15272","Larus canus","Birds",1985,2009,41.707580566,61.27306,-164.71,61.27306,31.792530215,9.915050351,76.227222446265,23.772777553735,0,"increasing"
"15273","Larus canus","Birds",1990,2004,41.707580566,59.08306,9.78306,59.08306,29.602530215,12.105050351,70.9763784263525,29.0236215736475,0,"decreasing"
"15274","Larus canus","Birds",1991,2000,41.707580566,54.14139,11.74972,54.14139,24.660860215,17.046720351,59.1280047423885,40.8719952576115,0,"decreasing"
"15275","Larus canus","Birds",1991,1998,41.707580566,59.09944,9.78,59.09944,29.618910215,12.088670351,71.0156518624466,28.9843481375534,0,"decreasing"
"15276","Larus canus","Birds",1994,2004,41.707580566,59.46806,8.76917,59.46806,29.987530215,11.720050351,71.8994720097617,28.1005279902383,0,"decreasing"
"15277","Larus canus","Birds",1996,2003,41.707580566,69.14694,29.21528,69.14694,39.666410215,2.04117035100001,95.1059967437575,4.89400325624251,0,"increasing"
"15278","Larus canus","Birds",1996,2003,41.707580566,62,10,62,32.519470215,9.18811035100001,77.9701669904819,22.0298330095181,0,"increasing"
"15279","Larus cirrocephalus","Birds",1983,2007,62.409484863,-33.834804,25.579688,33.834804,57.000697555,5.408787308,91.3333889554236,8.66661104457641,1,"increasing"
"15280","Larus cirrocephalus","Birds",1996,2008,62.409484863,-33.764552,25.675205,33.764552,56.930445555,5.479039308,91.2208227322698,8.77917726773016,1,"increasing"
"15281","Larus delawarensis","Birds",1970,2012,21.2328491199999,55,-115,55,15.0615234379999,6.171325682,70.9350090177628,29.0649909822372,0,"increasing"
"15282","Larus delawarensis","Birds",1970,2014,21.2328491199999,55,-97,55,15.0615234379999,6.171325682,70.9350090177628,29.0649909822372,0,"increasing"
"15283","Larus delawarensis","Birds",1970,2014,21.2328491199999,50,-86,50,10.0615234379999,11.171325682,47.3865913195918,52.6134086804082,0,"increasing"
"15284","Larus delawarensis","Birds",1970,2014,21.2328491199999,54,-106,54,14.0615234379999,7.171325682,66.2253254781286,33.7746745218714,0,"decreasing"
"15285","Larus delawarensis","Birds",1970,2014,21.2328491199999,56.159482,-125.441985,56.159482,16.2210054379999,5.01184368200001,76.3958023076649,23.6041976923351,0,"increasing"
"15286","Larus dominicanus","Birds",1978,2005,74.93106079,-33,18,33,32.174987792,42.756072998,42.939453215767,57.060546784233,0,"increasing"
"15287","Larus dominicanus","Birds",1979,2008,74.93106079,-33.834804,25.579688,33.834804,33.009791792,41.921268998,44.0535492811352,55.9464507188648,0,"increasing"
"15288","Larus dominicanus","Birds",1980,2017,74.93106079,-29.945085,17.224203,29.945085,29.120072792,45.810987998,38.86248571018,61.13751428982,0,"decreasing"
"15289","Larus dominicanus","Birds",1992,1994,74.93106079,-43.30028,-65.07361,43.30028,42.475267792,32.455792998,56.685795375352,43.314204624648,0,"decreasing"
"15290","Larus dominicanus","Birds",1996,1998,74.93106079,-22.98333,14.51667,22.98333,22.158317792,52.772742998,29.5716056310752,70.4283943689248,0,"decreasing"
"15291","Larus dominicanus","Birds",1996,2005,74.93106079,-26.91472,-48.64889,26.91472,26.089707792,48.841352998,34.8182816537436,65.1817183462564,0,"decreasing"
"15292","Larus dominicanus","Birds",2010,2011,74.93106079,-30.22833333,-50.22055556,30.22833333,29.403321122,45.527739668,39.2404976147409,60.7595023852591,0,"increasing"
"15293","Larus fuscus","Birds",1950,2006,39.2149214660001,40.71028,0.84417,40.71028,2.030776176,37.1841452900001,5.17858024466709,94.8214197553329,0,"increasing"
"15294","Larus fuscus","Birds",1970,1991,39.2149214660001,59.13333,10.21667,59.13333,20.453826176,18.7610952900001,52.1582739716405,47.8417260283595,0,"increasing"
"15295","Larus fuscus","Birds",1970,1990,39.2149214660001,59.06667,10,59.06667,20.387166176,18.8277552900001,51.9882876564625,48.0117123435375,0,"increasing"
"15296","Larus fuscus","Birds",1974,2004,39.2149214660001,58.03278,7.44444,58.03278,19.353276176,19.8616452900001,49.35181673838,50.64818326162,0,"increasing"
"15297","Larus fuscus","Birds",1994,2004,39.2149214660001,58.46806,8.76917,58.46806,19.788556176,19.4263652900001,50.4618023860049,49.5381976139951,0,"decreasing"
"15298","Larus genei","Birds",1956,2009,39.63987216,43.56667,4.56667,43.56667,30.566832686,9.073039474,77.1113301340173,22.8886698659827,0,"increasing"
"15299","Larus genei","Birds",1970,1988,39.63987216,39.2,34.4,39.2,26.200162686,13.439709474,66.095477251408,33.904522748592,0,"decreasing"
"15300","Larus genei","Birds",1977,2002,39.63987216,44.615,12.18639,44.615,31.615162686,8.024709474,79.7559653027902,20.2440346972098,0,"increasing"
"15301","Larus genei","Birds",1979,1990,39.63987216,30.9,31.11667,30.9,17.900162686,21.739709474,45.1569637100464,54.8430362899536,0,"increasing"
"15302","Larus genei","Birds",1983,2012,39.63987216,36.961413,-6.465193,36.961413,23.961575686,15.678296474,60.4481659004422,39.5518340995578,0,"increasing"
"15303","Larus genei","Birds",1984,2006,39.63987216,40.71028,0.84417,40.71028,27.710442686,11.929429474,69.9054794479438,30.0945205520562,0,"increasing"
"15304","Larus genei","Birds",1991,2012,39.63987216,40.64,0.74,40.64,27.640162686,11.999709474,69.7281832152105,30.2718167847895,0,"decreasing"
"15305","Larus genei","Birds",1991,2012,39.63987216,37.92,-0.95,37.92,24.920162686,14.719709474,62.8664052835835,37.1335947164165,0,"increasing"
"15306","Larus genei","Birds",1992,1994,39.63987216,46.76667,31.16667,46.76667,33.766832686,5.873039474,85.1840100535783,14.8159899464217,0,"decreasing"
"15307","Larus glaucoides","Birds",1994,1995,23.333343506,68.56,-93.23,68.56,8.7827172849999,14.5506262210001,37.6402005256619,62.3597994743381,0,"decreasing"
"15308","Larus hartlaubii","Birds",1996,1998,12.011962891,-22.98333,14.51667,22.98333,0.155510176,11.856452715,1.29462750935167,98.7053724906483,0,"decreasing"
"15309","Larus maculipennis","Birds",2010,2011,27.207580566,-30.22833333,-50.22055556,30.22833333,1.456421709,25.751158857,5.35299971074981,94.6470002892502,0,"increasing"
"15310","Larus marinus","Birds",1984,2004,51.9279373169999,58.03278,7.44444,58.03278,30.0941859449999,21.833751372,57.9537480206205,42.0462519793795,0,"increasing"
"15311","Larus melanocephalus","Birds",1956,2008,21.1029434210001,43.56667,4.56667,43.56667,8.392086565,12.7108568560001,39.7673746149024,60.2326253850976,0,"increasing"
"15312","Larus melanocephalus","Birds",1970,2000,21.1029434210001,43.33778,5.18111,43.33778,8.163196565,12.9397468560001,38.6827391901956,61.3172608098044,0,"increasing"
"15313","Larus melanocephalus","Birds",1977,2002,21.1029434210001,44.615,12.18639,44.615,9.440416565,11.6625268560001,44.7350702537808,55.2649297462192,0,"increasing"
"15314","Larus melanocephalus","Birds",1989,1999,21.1029434210001,40.359638,22.641951,40.359638,5.18505456499999,15.9178888560001,24.570290795739,75.429709204261,0,"decreasing"
"15315","Larus melanocephalus","Birds",1992,1993,21.1029434210001,46.76667,31.16667,46.76667,11.592086565,9.5108568560001,54.9311360682719,45.0688639317281,0,"decreasing"
"15316","Larus melanocephalus","Birds",2001,2002,21.1029434210001,45.08056,29.30556,45.08056,9.905976565,11.1969668560001,46.9412079982279,53.0587920017721,0,"increasing"
"15317","Larus michahellis","Birds",1956,2000,28.1589086,43.56667,4.56667,43.56667,20.036932528,8.121976072,71.1566375409877,28.8433624590123,0,"increasing"
"15318","Larus michahellis","Birds",1977,2001,28.1589086,44.615,12.18639,44.615,21.085262528,7.073646072,74.8795446141688,25.1204553858312,0,"increasing"
"15319","Larus michahellis","Birds",1978,2002,28.1589086,36.75861,5.07667,36.75861,13.228872528,14.930036072,46.9793510676049,53.0206489323951,0,"increasing"
"15320","Larus michahellis","Birds",1978,2006,28.1589086,36.97,7.64,36.97,13.440262528,14.718646072,47.7300548786184,52.2699451213816,0,"increasing"
"15321","Larus michahellis","Birds",1983,2000,28.1589086,30.21667,-9.61667,30.21667,6.686932528,21.471976072,23.7471296312954,76.2528703687046,0,"increasing"
"15322","Larus michahellis","Birds",1984,2012,28.1589086,43.534966,3.847851,43.534966,20.005228528,8.153680072,71.0440479500686,28.9559520499314,0,"increasing"
"15323","Larus michahellis","Birds",1988,2006,28.1589086,40.71028,0.84417,40.71028,17.180542528,10.978366072,61.0128139980539,38.9871860019461,0,"increasing"
"15324","Larus michahellis","Birds",1990,2005,28.1589086,34.85,-6.26667,34.85,11.320262528,16.838646072,40.2013539970793,59.7986460029207,0,"decreasing"
"15325","Larus philadelphia","Birds",1970,2014,20.668212891,56.159482,-125.441985,56.159482,8.228207587,12.440005304,39.8109291325472,60.1890708674528,0,"increasing"
"15326","Larus philadelphia","Birds",1972,2012,20.668212891,55.142948,-114.807219,55.142948,7.211673587,13.456539304,34.892584206641,65.107415793359,0,"increasing"
"15327","Larus philadelphia","Birds",1973,2014,20.668212891,55.410147,-105.758445,55.410147,7.478872587,13.189340304,36.1853858697996,63.8146141302004,0,"decreasing"
"15328","Larus philadelphia","Birds",1973,2014,20.668212891,63.748366,-136.036766,63.748366,15.817091587,4.851121304,76.5285884677895,23.4714115322105,0,"decreasing"
"15329","Larus philadelphia","Birds",1977,2014,20.668212891,55.443204,-97.404876,55.443204,7.511929587,13.156283304,36.3453271292318,63.6546728707682,0,"decreasing"
"15330","Larus pipixcan","Birds",1970,2012,20.308410644,55.142948,-114.807219,55.142948,16.093875734,4.21453491,79.2473424736211,20.7526575263789,0,"decreasing"
"15331","Larus pipixcan","Birds",1970,2014,20.308410644,55.410147,-105.758445,55.410147,16.361074734,3.94733591,80.5630485851623,19.4369514148377,0,"decreasing"
"15332","Larus ridibundus","Birds",1950,1999,34.696025847,53.86444,8.60639,53.86444,17.372355496,17.323670351,50.0701595410591,49.9298404589409,0,"increasing"
"15333","Larus ridibundus","Birds",1956,2008,34.696025847,43.56667,4.56667,43.56667,7.074585496,27.621440351,20.3901897214309,79.6098102785691,0,"decreasing"
"15334","Larus ridibundus","Birds",1974,1991,34.696025847,59.58333,10.21667,59.58333,23.091245496,11.604780351,66.5529983111786,33.4470016888214,0,"decreasing"
"15335","Larus ridibundus","Birds",1978,2005,34.696025847,36.991758,-6.339255,36.991758,0.499673496,34.196352351,1.44014619485074,98.5598538051493,0,"increasing"
"15336","Larus ridibundus","Birds",1979,2003,34.696025847,43.59306,3.25389,43.59306,7.100975496,27.595050351,20.4662503057652,79.5337496942348,0,"increasing"
"15337","Larus ridibundus","Birds",1980,2004,34.696025847,63.75,11.3,63.75,27.257915496,7.43811035100001,78.5620682212999,21.4379317787001,0,"decreasing"
